"host_species","host_phylum","host_class","host_order","host_family","host_in_gonzalos_list","diseases","has_pilot_disease","pilot_diseases","has_pilot_include_disease","pilot_include_diseases","Not_specified","PCR_Sequencing","Isolation_Observation","Antibodies","Any_PCR_Or_Observation","taxonomy_override_applied","taxonomy_override_notes","species_name","species_name_canonical","species_key","taxonomy_gap","known_non_target_class","human_domestic_or_livestock","not_pilot_include_disease","no_detection_evidence","existing_model_path","sdm_available","sdm_already_available","first_pass_eligible","eligibility_reasons","eligibility_status","taxonomy_review_needed","taxonomy_review_reason","analysis_unit_id","readiness_disease_name","disease_name","disease_is_pilot_include","species_role","sdm_needed_for_disease","sdm_species","run_status","run_priority","occurrence_method","gbif_occurrence_method","start_year","end_year","min_points","target_status","synonym_review_status","synonym_notes"
"Crocidura lasiura","Chordata","Mammalia","Eulipotyphla","Soricidae",FALSE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",0,2,0,1,2,FALSE,,"Crocidura lasiura","Crocidura lasiura","crocidura lasiura",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Crocidura lasiura/Crocidura lasiura.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Influenza (H5N1 avian influenza)","Influenza (H5N1 avian influenza)",TRUE,"host","yes","Crocidura lasiura","pending",69,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Crocidura lasiura","Chordata","Mammalia","Eulipotyphla","Soricidae",FALSE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",0,2,0,1,2,FALSE,,"Crocidura lasiura","Crocidura lasiura","crocidura lasiura",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Crocidura lasiura/Crocidura lasiura.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Influenza (H7N9 avian influenza)","Influenza (H7N9 avian influenza)",TRUE,"host","yes","Crocidura lasiura","pending",70,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Crocidura olivieri","Chordata","Mammalia","Eulipotyphla","Soricidae",FALSE,"West Nile fever",TRUE,"West Nile fever",TRUE,"West Nile fever",0,0,0,1,0,FALSE,,"Crocidura olivieri","Crocidura olivieri","crocidura olivieri",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Crocidura olivieri/Crocidura olivieri.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"West Nile fever","West Nile fever",TRUE,"host","yes","Crocidura olivieri","pending",71,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Crocidura shantungensis","Chordata","Mammalia","Eulipotyphla","Soricidae",FALSE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Rabies",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",0,3,0,0,3,FALSE,,"Crocidura shantungensis","Crocidura shantungensis","crocidura shantungensis",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Crocidura shantungensis/Crocidura shantungensis.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Influenza (H5N1 avian influenza)","Influenza (H5N1 avian influenza)",TRUE,"host","yes","Crocidura shantungensis","pending",72,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Crocidura shantungensis","Chordata","Mammalia","Eulipotyphla","Soricidae",FALSE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Rabies",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",0,3,0,0,3,FALSE,,"Crocidura shantungensis","Crocidura shantungensis","crocidura shantungensis",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Crocidura shantungensis/Crocidura shantungensis.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Influenza (H7N9 avian influenza)","Influenza (H7N9 avian influenza)",TRUE,"host","yes","Crocidura shantungensis","pending",73,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Crocidura suaveolens","Chordata","Mammalia","Eulipotyphla","Soricidae",FALSE,"Borna disease (encephalitis); Tularemia",TRUE,"Borna disease (encephalitis)",FALSE,"",0,1,0,1,1,FALSE,,"Crocidura suaveolens","Crocidura suaveolens","crocidura suaveolens",FALSE,FALSE,FALSE,TRUE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Crocidura suaveolens/Crocidura suaveolens.rds",FALSE,FALSE,FALSE,"not_pilot_include_disease","review_not_pilot_include_disease",FALSE,,,"Borna disease (encephalitis)","Borna disease (encephalitis)",FALSE,"host","no","Crocidura suaveolens","review_before_download",74,"gbif-download","gbif-download",2000,2026,20,"review_not_pilot_include_disease","not_audited",
"Ctenodactylus gundi","Chordata","Mammalia","Rodentia","Ctenodactylidae",FALSE,"West Nile fever",TRUE,"West Nile fever",TRUE,"West Nile fever",0,0,0,1,0,FALSE,,"Ctenodactylus gundi","Ctenodactylus gundi","ctenodactylus gundi",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Ctenodactylus gundi/Ctenodactylus gundi.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"West Nile fever","West Nile fever",TRUE,"host","yes","Ctenodactylus gundi","pending",75,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Cuniculus paca","Chordata","Mammalia","Rodentia","Cuniculidae",FALSE,"Rabies; Venezuelan equine encephalitis",TRUE,"Venezuelan equine encephalitis",FALSE,"",0,1,0,1,1,FALSE,,"Cuniculus paca","Cuniculus paca","cuniculus paca",FALSE,FALSE,FALSE,TRUE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Cuniculus paca/Cuniculus paca.rds",FALSE,FALSE,FALSE,"not_pilot_include_disease","review_not_pilot_include_disease",FALSE,,,"Venezuelan equine encephalitis","Venezuelan equine encephalitis",FALSE,"host","no","Cuniculus paca","review_before_download",76,"gbif-download","gbif-download",2000,2026,20,"review_not_pilot_include_disease","not_audited",
"Cynopterus sphinx","Chordata","Mammalia","Chiroptera","Pteropodidae",FALSE,"Alkhumra hemorrhagic fever; Australian bat lyssavirus infection; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Japanese encephalitis; Kyasanur Forest disease; Nipah virus disease",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Nipah virus disease",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Nipah virus disease",0,0,3,7,3,FALSE,,"Cynopterus sphinx","Cynopterus sphinx","cynopterus sphinx",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Cynopterus sphinx/Cynopterus sphinx.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Influenza (H5N1 avian influenza)","Influenza (H5N1 avian influenza)",TRUE,"host","yes","Cynopterus sphinx","pending",77,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Cynopterus sphinx","Chordata","Mammalia","Chiroptera","Pteropodidae",FALSE,"Alkhumra hemorrhagic fever; Australian bat lyssavirus infection; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Japanese encephalitis; Kyasanur Forest disease; Nipah virus disease",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Nipah virus disease",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Nipah virus disease",0,0,3,7,3,FALSE,,"Cynopterus sphinx","Cynopterus sphinx","cynopterus sphinx",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Cynopterus sphinx/Cynopterus sphinx.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Influenza (H7N9 avian influenza)","Influenza (H7N9 avian influenza)",TRUE,"host","yes","Cynopterus sphinx","pending",78,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Cynopterus sphinx","Chordata","Mammalia","Chiroptera","Pteropodidae",FALSE,"Alkhumra hemorrhagic fever; Australian bat lyssavirus infection; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Japanese encephalitis; Kyasanur Forest disease; Nipah virus disease",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Nipah virus disease",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Nipah virus disease",0,0,3,7,3,FALSE,,"Cynopterus sphinx","Cynopterus sphinx","cynopterus sphinx",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Cynopterus sphinx/Cynopterus sphinx.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Nipah virus disease","Nipah virus disease",TRUE,"host","yes","Cynopterus sphinx","pending",79,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Cynoscion nebulosus","Chordata","Actinopterygii","Perciformes","Sciaenidae",FALSE,"Non-typhoidal salmonellosis",TRUE,"Non-typhoidal salmonellosis",FALSE,"",0,1,0,0,1,FALSE,,"Cynoscion nebulosus","Cynoscion nebulosus","cynoscion nebulosus",FALSE,TRUE,FALSE,TRUE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Cynoscion nebulosus/Cynoscion nebulosus.rds",FALSE,FALSE,FALSE,"non_target_class:Actinopterygii; not_pilot_include_disease","review_non_target_class",TRUE,"non_target_class:Actinopterygii; not_pilot_include_disease",,"Non-typhoidal salmonellosis","Non-typhoidal salmonellosis",FALSE,"host","no","Cynoscion nebulosus","review_before_download",80,"gbif-download","gbif-download",2000,2026,20,"review_non_target_class","not_audited",
"Cystophora cristata","Chordata","Mammalia","Carnivora","Phocidae",FALSE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",0,0,0,2,0,FALSE,,"Cystophora cristata","Cystophora cristata","cystophora cristata",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Cystophora cristata/Cystophora cristata.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"Influenza (H5N1 avian influenza)","Influenza (H5N1 avian influenza)",TRUE,"host","yes","Cystophora cristata","pending",81,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Cystophora cristata","Chordata","Mammalia","Carnivora","Phocidae",FALSE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",0,0,0,2,0,FALSE,,"Cystophora cristata","Cystophora cristata","cystophora cristata",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Cystophora cristata/Cystophora cristata.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"Influenza (H7N9 avian influenza)","Influenza (H7N9 avian influenza)",TRUE,"host","yes","Cystophora cristata","pending",82,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Dama dama","Chordata","Mammalia","Artiodactyla","Cervidae",FALSE,"Bluetongue; Epizootic haemorrhagic disease; Hepatitis E; Melioidosis; Q fever; Rabies; Tick-borne encephalitis; West Nile fever",TRUE,"Hepatitis E; Tick-borne encephalitis; West Nile fever",TRUE,"Hepatitis E; Tick-borne encephalitis; West Nile fever",1,1,1,6,2,FALSE,,"Dama dama","Dama dama","dama dama",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Dama dama/Dama dama.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Hepatitis E","Hepatitis E",TRUE,"host","yes","Dama dama","pending",83,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Dama dama","Chordata","Mammalia","Artiodactyla","Cervidae",FALSE,"Bluetongue; Epizootic haemorrhagic disease; Hepatitis E; Melioidosis; Q fever; Rabies; Tick-borne encephalitis; West Nile fever",TRUE,"Hepatitis E; Tick-borne encephalitis; West Nile fever",TRUE,"Hepatitis E; Tick-borne encephalitis; West Nile fever",1,1,1,6,2,FALSE,,"Dama dama","Dama dama","dama dama",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Dama dama/Dama dama.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Tick-borne encephalitis","Tick-borne encephalitis",TRUE,"host","yes","Dama dama","pending",84,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Dama dama","Chordata","Mammalia","Artiodactyla","Cervidae",FALSE,"Bluetongue; Epizootic haemorrhagic disease; Hepatitis E; Melioidosis; Q fever; Rabies; Tick-borne encephalitis; West Nile fever",TRUE,"Hepatitis E; Tick-borne encephalitis; West Nile fever",TRUE,"Hepatitis E; Tick-borne encephalitis; West Nile fever",1,1,1,6,2,FALSE,,"Dama dama","Dama dama","dama dama",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Dama dama/Dama dama.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"West Nile fever","West Nile fever",TRUE,"host","yes","Dama dama","pending",85,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Damaliscus pygargus","Chordata","Mammalia","Artiodactyla","Bovidae",FALSE,"Bluetongue; Crimean-Congo hemorrhagic fever; Epizootic haemorrhagic disease",TRUE,"Crimean-Congo hemorrhagic fever",TRUE,"Crimean-Congo hemorrhagic fever",0,1,1,1,2,FALSE,,"Damaliscus pygargus","Damaliscus pygargus","damaliscus pygargus",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Damaliscus pygargus/Damaliscus pygargus.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever",TRUE,"host","yes","Damaliscus pygargus","pending",86,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Dasymys incomtus","Chordata","Mammalia","Rodentia","Muridae",FALSE,"West Nile fever",TRUE,"West Nile fever",TRUE,"West Nile fever",0,0,0,1,0,FALSE,,"Dasymys incomtus","Dasymys incomtus","dasymys incomtus",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Dasymys incomtus/Dasymys incomtus.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"West Nile fever","West Nile fever",TRUE,"host","yes","Dasymys incomtus","pending",87,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Dasyprocta leporina","Chordata","Mammalia","Rodentia","Dasyproctidae",FALSE,"Chagas disease; Dengue; Mayaro virus disease; Yellow fever",TRUE,"Dengue; Yellow fever",TRUE,"Dengue; Yellow fever",0,1,0,3,1,FALSE,,"Dasyprocta leporina","Dasyprocta leporina","dasyprocta leporina",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Dasyprocta leporina/Dasyprocta leporina.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Dengue","Dengue",TRUE,"host","yes","Dasyprocta leporina","pending",88,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Dasyprocta leporina","Chordata","Mammalia","Rodentia","Dasyproctidae",FALSE,"Chagas disease; Dengue; Mayaro virus disease; Yellow fever",TRUE,"Dengue; Yellow fever",TRUE,"Dengue; Yellow fever",0,1,0,3,1,FALSE,,"Dasyprocta leporina","Dasyprocta leporina","dasyprocta leporina",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Dasyprocta leporina/Dasyprocta leporina.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Yellow fever","Yellow fever",TRUE,"host","yes","Dasyprocta leporina","pending",89,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Dasypus novemcinctus","Chordata","Mammalia","Cingulata","Dasypodidae",FALSE,"Chagas disease; Eastern equine encephalitis; Mayaro virus disease; Rabies; Saint Louis encephalitis; Venezuelan equine encephalitis",TRUE,"Venezuelan equine encephalitis",FALSE,"",0,2,0,4,2,FALSE,,"Dasypus novemcinctus","Dasypus novemcinctus","dasypus novemcinctus",FALSE,FALSE,FALSE,TRUE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Dasypus novemcinctus/Dasypus novemcinctus.rds",FALSE,FALSE,FALSE,"not_pilot_include_disease","review_not_pilot_include_disease",FALSE,,,"Venezuelan equine encephalitis","Venezuelan equine encephalitis",FALSE,"host","no","Dasypus novemcinctus","review_before_download",90,"gbif-download","gbif-download",2000,2026,20,"review_not_pilot_include_disease","not_audited",
"Delphinapterus leucas","Chordata","Mammalia","Artiodactyla","Monodontidae",FALSE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",0,0,0,2,0,FALSE,,"Delphinapterus leucas","Delphinapterus leucas","delphinapterus leucas",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Delphinapterus leucas/Delphinapterus leucas.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"Influenza (H5N1 avian influenza)","Influenza (H5N1 avian influenza)",TRUE,"host","yes","Delphinapterus leucas","pending",91,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Delphinapterus leucas","Chordata","Mammalia","Artiodactyla","Monodontidae",FALSE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",0,0,0,2,0,FALSE,,"Delphinapterus leucas","Delphinapterus leucas","delphinapterus leucas",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Delphinapterus leucas/Delphinapterus leucas.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"Influenza (H7N9 avian influenza)","Influenza (H7N9 avian influenza)",TRUE,"host","yes","Delphinapterus leucas","pending",92,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Delphinus delphis","Chordata","Mammalia","Artiodactyla","Delphinidae",FALSE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",0,2,0,0,2,FALSE,,"Delphinus delphis","Delphinus delphis","delphinus delphis",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Delphinus delphis/Delphinus delphis.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Influenza (H5N1 avian influenza)","Influenza (H5N1 avian influenza)",TRUE,"host","yes","Delphinus delphis","pending",93,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Delphinus delphis","Chordata","Mammalia","Artiodactyla","Delphinidae",FALSE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",TRUE,"Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza)",0,2,0,0,2,FALSE,,"Delphinus delphis","Delphinus delphis","delphinus delphis",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Delphinus delphis/Delphinus delphis.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Influenza (H7N9 avian influenza)","Influenza (H7N9 avian influenza)",TRUE,"host","yes","Delphinus delphis","pending",94,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Diceros bicornis","Chordata","Mammalia","Perissodactyla","Rhinocerotidae",FALSE,"African horse sickness; Anthrax; Bluetongue; Crimean-Congo hemorrhagic fever; Epizootic haemorrhagic disease; Rift Valley fever",TRUE,"Crimean-Congo hemorrhagic fever; Rift Valley fever",TRUE,"Crimean-Congo hemorrhagic fever; Rift Valley fever",1,0,1,5,1,FALSE,,"Diceros bicornis","Diceros bicornis","diceros bicornis",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Diceros bicornis/Diceros bicornis.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever",TRUE,"host","yes","Diceros bicornis","pending",95,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Diceros bicornis","Chordata","Mammalia","Perissodactyla","Rhinocerotidae",FALSE,"African horse sickness; Anthrax; Bluetongue; Crimean-Congo hemorrhagic fever; Epizootic haemorrhagic disease; Rift Valley fever",TRUE,"Crimean-Congo hemorrhagic fever; Rift Valley fever",TRUE,"Crimean-Congo hemorrhagic fever; Rift Valley fever",1,0,1,5,1,FALSE,,"Diceros bicornis","Diceros bicornis","diceros bicornis",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Diceros bicornis/Diceros bicornis.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Rift Valley fever","Rift Valley fever",TRUE,"host","yes","Diceros bicornis","pending",96,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Dicotyles tajacu","Chordata","Mammalia","Artiodactyla","Tayassuidae",FALSE,"Rabies; Venezuelan equine encephalitis; Yellow fever",TRUE,"Venezuelan equine encephalitis; Yellow fever",TRUE,"Yellow fever",0,1,1,2,2,FALSE,,"Dicotyles tajacu","Dicotyles tajacu","dicotyles tajacu",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Dicotyles tajacu/Dicotyles tajacu.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Venezuelan equine encephalitis","Venezuelan equine encephalitis",FALSE,"host","yes","Dicotyles tajacu","pending",97,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Dicotyles tajacu","Chordata","Mammalia","Artiodactyla","Tayassuidae",FALSE,"Rabies; Venezuelan equine encephalitis; Yellow fever",TRUE,"Venezuelan equine encephalitis; Yellow fever",TRUE,"Yellow fever",0,1,1,2,2,FALSE,,"Dicotyles tajacu","Dicotyles tajacu","dicotyles tajacu",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Dicotyles tajacu/Dicotyles tajacu.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Yellow fever","Yellow fever",TRUE,"host","yes","Dicotyles tajacu","pending",98,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Dipodillus dasyurus","Chordata","Mammalia","Rodentia","Muridae",FALSE,"West Nile fever",TRUE,"West Nile fever",TRUE,"West Nile fever",0,0,0,1,0,FALSE,,"Dipodillus dasyurus","Dipodillus dasyurus","dipodillus dasyurus",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Dipodillus dasyurus/Dipodillus dasyurus.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"West Nile fever","West Nile fever",TRUE,"host","yes","Dipodillus dasyurus","pending",99,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Dipodomys microps","Chordata","Mammalia","Rodentia","Heteromyidae",FALSE,"Tularemia; Venezuelan equine encephalitis",TRUE,"Venezuelan equine encephalitis",FALSE,"",0,0,0,2,0,FALSE,,"Dipodomys microps","Dipodomys microps","dipodomys microps",FALSE,FALSE,FALSE,TRUE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Dipodomys microps/Dipodomys microps.rds",FALSE,FALSE,FALSE,"not_pilot_include_disease; no_pcr_or_observation_signal","review_not_pilot_include_disease",FALSE,,,"Venezuelan equine encephalitis","Venezuelan equine encephalitis",FALSE,"host","no","Dipodomys microps","review_before_download",100,"gbif-download","gbif-download",2000,2026,20,"review_not_pilot_include_disease","not_audited",
"Dobsonia andersoni","Chordata","Mammalia","Chiroptera","Pteropodidae",FALSE,"Hendra virus disease",TRUE,"Hendra",TRUE,"Hendra",0,0,0,1,0,FALSE,,"Dobsonia andersoni","Dobsonia andersoni","dobsonia andersoni",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Dobsonia andersoni/Dobsonia andersoni.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"Hendra","Hendra",TRUE,"host","yes","Dobsonia andersoni","pending",101,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Dobsonia moluccensis","Chordata","Mammalia","Chiroptera","Pteropodidae",FALSE,"Hendra virus disease",TRUE,"Hendra",TRUE,"Hendra",0,0,0,1,0,FALSE,,"Dobsonia moluccensis","Dobsonia moluccensis","dobsonia moluccensis",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Dobsonia moluccensis/Dobsonia moluccensis.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"Hendra","Hendra",TRUE,"host","yes","Dobsonia moluccensis","pending",102,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
